N,P,K,temperature,humidity,ph,rainfall,label
91.05,42.23,74.19,26.24,93.03,5.71,169.69,papaya
110.7,46.33,39.83,22.34,63.01,6.6,70.92,maize
19.64,58.22,33.09,18.1,22.89,6.41,105.73,kidneybeans
63.42,40.24,49.79,20.78,88.67,7.01,119.01,orange
111.13,66.77,53.77,26.41,64.07,6.53,65.27,maize
93.05,47.17,41.78,23.22,85.09,5.93,222.5,rice
11.5,45.51,27.59,26.95,85.3,6.86,76.21,mungbean
91.95,37.92,63.72,18.09,67.69,7.18,69.22,grapes
134.02,71.91,68.41,25.25,62.87,7.14,67.87,cotton
26.35,39.53,24.91,30.94,59.08,7.27,76.7,pigeonpeas
87.26,44.45,98.11,31.69,92.27,6.02,173.48,coconut
104.61,53.14,46.88,20.5,84.5,5.69,183.46,rice
104.63,36.13,48.78,24.99,84.98,5.71,199.55,rice
18.94,47.91,30.53,30.48,67.13,6.7,82.17,blackgram
24.4,39.49,26.5,38.03,64.69,6.61,50.04,mothbeans
106.01,43.37,45.8,25.5,61.82,6.32,123.54,mango
119.21,47.97,65.57,23.08,50.21,7.12,95.38,cotton
65.47,58.85,80.33,34.05,91.37,6.47,24.58,muskmelon
87.96,46.62,46.15,19.35,73.47,6.64,76.07,grapes
25.64,45.82,29.24,36.68,59.45,6.55,55.81,mothbeans
80.84,70.01,87.99,31.72,94.35,6.47,33.87,muskmelon
20.57,70.35,25.79,17.49,66.36,7.39,51.36,lentil
83.76,69.13,118.06,33.86,91.65,6.69,26.85,muskmelon
78.29,58.32,112.75,29.23,90.68,6.61,151.9,coconut
20.4,42.71,26.86,29.19,47.37,7.15,80.25,pigeonpeas
128.72,63.14,58.48,24.69,58.33,6.71,92.84,cotton
70.2,45.51,152.81,30.89,95.71,6.2,150.23,coconut
70.01,55.21,47.81,33.57,80.68,6.15,209.45,jute
75.17,59.01,108.63,35.47,93.49,6.57,22.68,muskmelon
29.45,41.38,32.3,35.85,53.23,6.8,74.51,mothbeans
68.5,54.15,55.49,17.8,65.01,5.9,74.75,grapes
98.32,39.59,48.67,34.15,74.92,6.41,184.93,jute
20.96,61.51,38.58,19.1,18.7,6.02,109.73,kidneybeans
93.65,47.94,50.65,25.99,87.33,5.86,201.02,rice
67.09,32.63,46.58,20.22,93.13,6.24,168.72,orange
39.62,41.95,25.62,28.37,49.29,6.87,76.62,pigeonpeas
94.15,53.37,59.38,23.19,95.34,6.85,122.47,orange
21.71,52.48,27.35,30.04,70.58,6.37,96.16,blackgram
21.78,64.17,36.62,18.16,64.52,6.53,47.57,lentil
102.99,37.63,42.02,23.83,84.28,6.2,166.53,rice
97.46,46.85,50.69,31.28,55.55,6.59,159.72,mango
88.23,37.2,31.34,14.23,94.28,7.25,123.82,orange
26.55,40.94,33.32,28.55,49.02,7.1,79.29,pigeonpeas
82.12,58.5,68.39,20.08,70.91,6.12,83.79,grapes
19.22,68.9,29.54,19.07,21.47,6.75,78.81,chickpea
83.6,45.16,43.64,25.32,87.64,6.24,216.16,rice
18.7,58.36,26.8,20.36,22.65,5.91,147.5,kidneybeans
73.13,49.13,116.42,30.32,92.5,7.4,146.46,coconut
90.46,57.27,64.35,32.61,48.17,6.28,61.72,pomegranate
63.99,55.26,46.7,22.71,89.49,6.11,202.14,rice
55.53,56.35,57.55,7.94,91.26,5.78,199.7,apple
84.21,67.6,87.56,29.46,93.59,6.63,29.53,muskmelon
60.78,38.45,115.82,29.23,89.62,6.97,142.03,coconut
69.45,57.03,69.16,30.52,84.94,6.45,49.74,watermelon
83.07,47.75,46.84,30.54,77.08,6.46,240.77,jute
103.8,47.33,42.79,21.46,87.09,5.83,213.29,coffee
97.6,63.81,64.69,24.98,62.63,7.09,82.36,cotton
13.76,48.63,25.34,22.16,20.61,6.97,75.25,chickpea
65.49,78.96,93.01,28.47,78.26,6.52,54.72,watermelon
73.92,68.75,85.12,34.32,92.11,6.76,27.26,muskmelon
20.95,42.6,21.33,28.99,86.66,6.33,65.18,mungbean
95.41,63.57,98.48,31.25,84.5,6.99,149.29,banana
69.51,39.87,103.83,22.59,91.1,6.38,178.16,papaya
45.0,72.29,76.37,17.79,91.29,5.95,148.07,apple
17.51,36.33,34.21,27.42,69.36,6.63,77.37,blackgram
96.39,41.42,56.36,19.69,74.96,6.48,68.24,grapes
24.81,41.86,34.24,33.7,85.57,7.44,63.41,mungbean
63.61,51.27,41.52,31.7,54.68,5.58,154.85,mango
53.69,59.05,56.69,9.95,92.61,5.83,153.21,apple
73.53,72.04,102.66,32.11,85.03,6.19,51.11,watermelon
36.24,42.51,25.43,29.08,59.42,6.71,69.45,pigeonpeas
54.37,74.54,68.97,9.68,96.0,5.98,158.87,apple
17.45,55.95,34.69,15.76,20.31,6.23,128.95,kidneybeans
15.25,59.46,29.18,19.12,22.09,5.57,126.84,kidneybeans
125.29,46.17,75.16,27.6,62.67,6.66,69.59,cotton
19.9,53.79,30.35,29.35,84.31,6.82,84.09,mungbean
103.96,54.65,121.93,29.73,77.8,6.67,164.49,banana
96.36,38.72,45.21,22.07,86.19,5.62,191.11,coffee
76.55,52.59,49.47,29.8,62.86,5.7,109.72,mango
22.49,46.38,33.18,33.5,58.34,7.28,57.47,mothbeans
80.66,39.1,55.29,18.88,72.31,6.58,91.27,grapes
75.33,40.28,49.91,19.81,74.02,7.19,79.55,grapes
23.84,39.59,31.4,34.73,56.29,6.93,64.55,mothbeans
23.5,30.8,32.23,29.73,71.54,6.07,85.71,blackgram
82.35,39.01,127.88,28.61,94.59,6.7,147.74,coconut
34.53,51.52,23.55,30.29,48.8,6.8,85.11,pigeonpeas
90.43,50.33,92.38,28.6,94.03,6.16,158.83,papaya
110.93,53.45,48.32,33.83,63.62,6.25,73.04,pomegranate
27.21,46.85,27.51,36.98,45.4,6.8,54.33,mothbeans
107.22,48.99,47.35,31.36,61.13,6.35,82.42,pomegranate
78.11,44.66,50.07,24.76,87.1,5.71,154.25,rice
75.66,39.74,40.64,29.54,53.71,6.64,135.67,mango
22.34,44.81,35.72,31.42,70.34,6.87,76.56,blackgram
91.23,35.5,36.09,30.68,61.66,6.74,170.22,mango
139.18,54.14,54.45,26.07,57.95,6.79,75.72,cotton
98.29,55.37,45.76,23.6,69.57,6.5,85.43,maize
27.31,51.63,33.29,28.02,51.48,6.42,81.74,pigeonpeas
103.53,37.29,46.81,21.44,83.29,5.93,178.27,coffee
99.17,48.29,50.88,17.23,84.27,5.97,196.65,coffee
34.5,47.63,32.11,37.36,54.65,6.65,53.32,mothbeans
112.44,43.65,47.29,24.0,53.8,7.25,117.06,mango
11.22,51.47,34.86,22.82,59.42,7.43,46.71,lentil
24.58,49.12,31.52,31.99,64.94,7.41,58.65,mothbeans
32.56,53.65,37.41,28.42,49.58,6.56,84.24,pigeonpeas
98.79,44.04,47.6,21.19,86.32,6.08,230.02,rice
20.35,42.75,30.64,30.72,88.67,6.96,75.09,mungbean
80.89,51.17,38.83,28.04,50.5,7.4,145.65,mango
64.9,47.83,68.48,28.7,58.74,6.55,70.99,pomegranate
89.83,49.32,43.65,25.62,58.8,7.11,131.64,mango
84.14,34.43,81.41,30.98,93.62,5.95,173.08,papaya
21.03,54.45,30.47,26.84,85.19,6.73,77.26,mungbean
62.77,42.6,73.6,33.32,90.63,6.48,28.77,muskmelon
72.5,55.01,114.67,31.35,93.66,6.56,24.57,muskmelon
18.93,49.19,25.41,29.6,82.81,6.6,65.63,mungbean
89.25,48.39,39.82,29.95,58.5,6.97,119.73,mango
61.18,56.38,62.94,4.11,92.72,6.12,139.56,apple
80.53,43.16,44.42,26.24,93.66,6.63,151.63,orange
45.26,73.3,61.22,9.6,91.01,6.04,146.9,apple
54.2,70.23,54.29,10.33,88.13,6.14,148.05,apple
110.19,63.22,64.74,25.61,60.5,6.52,82.31,cotton
86.17,48.13,46.63,25.84,82.63,5.96,193.01,rice
93.42,42.36,58.65,19.29,69.55,6.76,70.56,grapes
86.63,50.29,35.48,29.75,80.56,6.53,229.42,jute
20.01,58.16,32.48,28.15,83.13,6.8,78.96,mungbean
88.38,45.29,44.04,30.36,61.96,6.29,141.51,mango
25.73,37.04,28.71,31.83,51.96,6.24,74.71,pigeonpeas
108.17,60.93,125.49,28.78,82.62,5.93,171.29,banana
21.76,66.97,28.88,15.8,61.17,7.19,50.32,lentil
19.84,66.16,30.27,18.19,68.91,7.01,49.65,lentil
114.61,61.28,133.65,26.99,83.67,6.07,142.21,banana
15.46,44.67,30.88,27.89,72.66,6.11,75.54,blackgram
93.11,34.55,57.34,15.55,69.72,6.31,84.42,grapes
124.19,55.16,73.96,25.84,62.73,7.15,75.42,cotton
54.19,63.4,60.78,6.92,90.96,5.78,172.0,apple
123.15,60.9,50.12,27.29,69.16,6.63,68.92,cotton
129.27,60.92,61.89,27.5,55.01,7.0,69.44,cotton
90.51,53.81,37.53,33.72,63.71,6.84,167.11,mango
11.44,60.96,23.94,23.02,17.73,6.63,89.79,chickpea
27.15,40.33,28.98,39.33,59.18,6.53,49.94,mothbeans
90.12,46.25,38.12,23.05,83.18,5.94,251.32,rice
15.85,74.71,30.46,21.27,18.77,7.32,76.38,chickpea
15.78,54.55,31.27,33.08,84.51,6.35,96.07,mungbean
16.84,41.13,35.1,29.96,69.92,6.83,89.88,blackgram
27.17,46.38,31.41,28.42,71.66,7.29,79.09,blackgram
148.85,63.1,45.38,24.62,65.21,6.85,87.06,cotton
22.97,71.98,34.21,17.31,22.48,5.64,145.85,kidneybeans
99.61,58.05,117.63,29.04,76.48,6.03,138.44,banana
95.87,42.64,50.49,22.72,69.14,6.73,77.23,grapes
91.67,41.77,53.29,28.3,52.89,6.51,157.18,mango
109.43,42.95,41.41,20.58,81.7,5.82,234.05,coffee
111.04,49.09,44.34,32.01,55.31,5.55,174.55,mango
88.32,67.8,66.82,28.09,81.75,6.26,47.53,watermelon
22.59,47.27,25.74,31.86,62.98,7.1,52.56,mothbeans
102.18,64.86,47.13,28.0,61.18,6.3,56.19,maize
128.78,57.44,78.36,25.56,60.27,6.26,82.63,cotton
75.34,54.0,128.75,29.61,95.51,6.17,158.95,coconut
102.31,50.0,95.22,27.47,91.44,6.17,166.53,papaya
88.01,47.78,35.94,21.87,62.55,6.69,61.64,maize
88.29,44.4,46.16,29.2,78.75,6.5,179.28,jute
16.65,61.09,29.68,18.07,62.73,6.15,48.14,lentil
20.77,53.51,35.59,28.61,86.24,7.01,77.33,mungbean
33.7,49.3,32.67,33.77,47.26,6.48,77.3,pigeonpeas
130.92,50.76,62.75,25.19,59.93,7.25,85.69,cotton
85.6,49.39,89.0,25.05,89.75,7.15,164.08,coconut
117.34,40.29,44.96,23.37,80.66,6.48,223.43,rice
65.88,40.65,82.66,27.0,96.71,6.22,158.8,papaya
70.54,44.7,134.55,26.77,91.08,6.54,190.81,coconut
68.55,62.48,87.93,31.08,91.22,6.45,24.74,muskmelon
101.74,40.34,49.54,28.81,55.7,6.64,113.37,mango
77.76,39.22,34.51,23.26,83.39,6.1,280.85,rice
90.17,45.69,46.74,19.68,86.51,5.97,195.46,coffee
69.82,42.98,48.67,20.23,92.77,6.18,152.17,orange
80.45,57.46,85.6,25.71,92.76,5.97,175.66,papaya
101.76,48.54,47.08,20.58,92.15,6.7,145.25,orange
105.75,42.87,115.76,25.61,93.22,5.96,168.35,papaya
70.87,61.42,78.49,3.79,92.96,6.0,194.96,apple
90.91,45.66,42.5,22.28,83.73,5.67,213.34,rice
24.74,51.12,20.85,31.69,85.55,6.32,85.64,mungbean
65.26,71.74,69.97,35.04,91.45,6.99,30.73,muskmelon
102.09,31.8,58.36,21.85,72.54,6.92,80.63,grapes
34.35,51.13,23.59,26.65,46.58,6.88,80.31,pigeonpeas
27.29,54.61,30.48,22.32,18.64,6.17,83.36,chickpea
124.72,62.4,62.82,24.28,55.1,6.39,94.44,cotton
64.85,52.22,138.37,29.82,92.8,6.16,151.54,coconut
83.74,54.83,122.35,28.46,79.76,6.43,146.7,banana
91.02,48.34,53.07,24.74,67.21,6.26,68.08,maize
74.83,35.23,40.02,26.16,60.99,7.46,135.23,mango
99.37,63.4,51.06,25.52,68.66,6.7,98.05,cotton
121.91,48.89,46.8,19.7,66.95,6.3,74.61,maize
92.14,41.12,62.27,34.62,63.56,6.28,78.75,pomegranate
87.73,48.81,89.78,31.61,91.63,6.32,28.4,muskmelon
133.42,66.81,61.3,21.14,54.0,6.06,82.08,cotton
86.38,42.77,36.9,30.22,66.7,6.85,139.45,mango
33.48,43.41,32.23,34.65,59.61,7.14,60.58,mothbeans
71.51,54.76,111.71,27.88,94.2,5.79,168.26,papaya
33.65,50.32,24.42,34.28,63.64,6.27,59.76,mothbeans
15.41,44.52,28.11,31.35,49.85,6.86,87.45,pigeonpeas
11.3,58.33,25.0,18.81,63.87,7.3,45.89,lentil
92.91,56.25,90.65,29.12,84.15,6.27,62.43,watermelon
61.12,74.21,50.4,14.0,90.76,6.25,135.05,apple
65.07,44.88,121.13,34.48,92.43,6.52,161.68,coconut
86.73,41.9,42.87,22.27,83.12,6.13,209.4,coffee
26.63,47.75,25.03,31.79,49.32,6.16,57.46,mothbeans
59.09,60.59,64.3,9.43,88.93,6.02,172.66,apple
69.33,59.21,87.31,33.29,93.43,6.07,23.95,muskmelon
87.44,47.0,94.32,29.89,91.77,6.67,148.98,coconut
13.19,59.61,20.06,21.21,21.8,6.12,134.44,kidneybeans
104.83,37.06,54.77,19.71,70.85,6.65,77.43,grapes
98.98,56.93,66.87,32.65,86.19,6.68,53.78,watermelon
85.33,39.96,36.81,23.11,89.18,6.04,196.32,coffee
93.38,52.82,49.43,22.22,86.31,6.14,233.51,rice
102.75,55.35,60.72,32.27,52.43,6.4,71.81,pomegranate
25.33,59.62,34.26,22.14,23.75,6.16,121.49,kidneybeans
69.42,63.69,59.65,11.08,90.7,5.89,161.09,apple
111.4,48.18,60.96,28.38,56.2,6.39,78.46,pomegranate
66.83,55.18,38.57,30.39,58.15,6.42,152.5,mango
85.33,41.08,85.18,28.23,92.8,6.17,167.71,papaya
83.96,39.64,119.11,29.55,92.08,6.68,176.9,coconut
85.91,48.89,67.49,27.24,57.39,6.58,86.15,pomegranate
21.84,56.88,24.51,22.17,15.77,7.06,78.17,chickpea
24.22,44.51,28.17,30.65,52.65,7.07,69.24,mothbeans
21.98,52.83,34.56,22.69,22.12,5.83,127.75,kidneybeans
92.11,52.3,48.06,14.28,96.29,6.73,163.9,orange
15.09,76.02,26.26,17.16,20.28,5.93,116.24,kidneybeans
20.66,50.29,26.61,29.97,71.04,6.69,99.9,blackgram
104.0,58.73,47.88,26.84,72.34,6.39,56.4,maize
80.72,76.0,108.29,34.24,92.61,6.48,30.19,muskmelon
15.31,54.85,25.95,23.32,18.06,7.01,70.5,chickpea
63.47,30.09,69.6,19.79,70.79,6.57,63.72,grapes
16.99,45.82,31.3,28.73,69.46,6.58,75.18,blackgram
63.92,32.6,111.65,28.41,92.79,6.5,195.18,coconut
11.65,52.76,31.99,28.7,86.27,6.7,69.37,mungbean
82.74,45.41,121.19,26.68,91.48,6.55,185.26,coconut
13.27,63.25,31.85,22.65,20.79,6.02,119.01,kidneybeans
106.39,62.27,37.17,20.1,67.25,6.18,72.8,maize
79.34,50.61,47.57,15.01,93.38,6.51,124.55,orange
84.51,42.47,61.6,33.04,68.33,6.01,57.46,pomegranate
20.7,61.72,30.38,19.7,20.33,6.35,117.93,kidneybeans
14.57,63.37,29.74,19.94,64.81,6.42,55.0,lentil
124.42,68.26,59.62,26.7,63.4,6.69,90.42,cotton
106.05,44.65,52.72,30.21,62.07,6.26,84.59,pomegranate
13.92,48.64,23.97,31.88,84.73,7.12,89.99,mungbean
15.42,48.44,28.54,29.67,70.26,6.18,77.33,blackgram
104.88,30.71,40.97,23.34,85.85,5.58,188.43,coffee
83.21,44.35,45.74,21.78,84.15,6.45,213.29,coffee
20.88,51.15,32.88,33.42,81.66,6.05,73.97,mungbean
26.43,72.04,36.4,18.92,21.2,6.88,138.3,kidneybeans
28.67,41.61,31.4,29.15,68.94,6.99,82.82,blackgram
110.1,52.17,41.89,20.55,58.94,6.39,73.49,maize
18.42,58.96,29.44,15.83,61.69,7.05,45.2,lentil
99.11,42.05,42.47,17.65,68.09,6.58,77.94,grapes
24.76,46.02,20.66,27.17,82.31,6.82,84.69,mungbean
16.24,31.58,30.26,27.29,86.11,6.76,83.05,mungbean
63.41,65.12,56.83,12.45,92.25,6.37,177.12,apple
89.96,63.2,94.19,34.23,94.77,6.54,27.5,muskmelon
73.3,68.84,106.7,36.77,96.98,6.94,23.69,muskmelon
54.95,46.39,101.78,28.73,96.38,6.56,194.35,coconut
72.63,66.11,91.74,29.29,83.81,6.35,55.0,watermelon
73.15,37.35,45.99,28.36,77.22,6.36,200.12,jute
26.88,71.04,28.96,19.11,61.88,6.93,41.95,lentil
36.08,45.16,35.4,31.48,52.81,7.13,73.3,pigeonpeas
26.0,72.89,25.12,19.17,14.88,6.74,81.03,chickpea
63.46,62.78,90.55,32.68,91.61,6.42,21.12,muskmelon
82.47,49.46,51.89,15.0,75.87,6.7,68.85,grapes
92.38,41.17,58.96,23.66,85.07,5.95,251.2,rice
26.55,65.47,25.27,19.71,17.56,6.03,79.54,chickpea
76.75,65.66,94.34,34.22,82.68,6.49,42.79,watermelon
27.16,46.69,31.13,33.48,61.05,6.48,47.64,mothbeans
93.57,39.64,48.27,22.35,84.86,5.71,275.33,rice
26.47,47.85,30.57,20.56,20.98,6.32,119.91,kidneybeans
76.9,42.1,100.06,28.41,94.93,5.72,158.27,papaya
14.35,49.52,35.33,19.97,18.95,6.32,112.69,kidneybeans
130.36,66.83,103.6,32.21,80.01,6.26,137.64,banana
15.51,62.81,28.85,15.0,22.28,6.44,104.17,kidneybeans
24.33,65.5,33.22,15.98,63.7,6.75,51.71,lentil
134.67,65.9,62.99,26.82,61.54,7.01,77.04,cotton
107.74,45.73,42.42,24.55,86.28,5.87,185.62,coffee
35.91,39.99,25.54,29.77,54.29,6.66,92.93,pigeonpeas
73.78,55.85,112.5,32.99,89.23,6.55,27.05,muskmelon
139.24,68.37,57.06,25.03,62.1,6.75,105.07,cotton
68.26,40.44,40.56,17.56,93.02,7.06,167.62,orange
23.61,52.34,36.03,34.2,54.89,6.38,59.75,mothbeans
75.4,43.18,55.55,15.1,67.5,5.58,83.78,grapes
21.39,57.41,32.15,21.71,19.02,6.44,81.41,chickpea
66.19,49.56,119.01,28.57,91.66,6.5,144.34,coconut
48.88,49.47,60.76,7.12,90.5,6.05,121.72,apple
81.76,53.78,45.74,30.31,83.11,6.98,195.89,jute
97.66,55.67,72.23,30.44,40.29,6.19,79.01,pomegranate
18.56,56.39,20.29,15.53,60.26,6.91,41.71,lentil
104.34,60.92,63.86,25.84,64.82,6.43,63.83,cotton
22.74,51.57,34.37,17.7,21.53,6.49,132.07,kidneybeans
81.11,30.03,38.55,30.52,82.51,6.26,207.36,jute
19.16,48.0,36.81,31.3,52.83,6.69,61.91,mothbeans
27.01,42.36,37.13,34.82,51.03,6.32,83.24,pigeonpeas
94.72,56.39,107.67,25.3,92.85,6.06,151.48,papaya
84.53,59.34,42.94,30.7,82.45,6.39,187.11,jute
78.36,53.56,58.25,35.63,46.12,6.77,74.28,pomegranate
81.93,57.53,85.09,28.3,79.9,6.44,58.08,watermelon
86.92,42.76,118.74,29.34,93.0,6.29,161.88,papaya
59.28,50.2,57.83,5.83,88.76,6.11,175.44,apple
101.94,31.38,61.84,31.38,56.67,6.74,58.72,pomegranate
103.86,39.58,38.81,33.34,79.41,6.64,206.35,jute
108.55,58.77,39.47,24.09,62.01,6.3,85.26,maize
29.23,42.86,34.41,33.27,56.67,6.36,59.88,mothbeans
75.33,61.72,72.85,27.62,85.52,6.78,47.74,watermelon
25.16,40.6,28.58,29.15,80.74,6.79,80.22,mungbean
69.8,32.71,54.42,22.51,84.32,6.06,196.69,coffee
64.1,38.51,48.14,15.99,75.03,7.16,68.12,grapes
28.08,50.11,30.1,33.27,54.08,7.23,48.02,mothbeans
81.75,37.24,62.77,21.5,65.2,6.49,59.85,grapes
19.94,54.8,24.62,32.13,85.54,6.14,95.28,mungbean
98.35,43.05,45.01,24.39,85.32,5.61,190.28,rice
137.18,57.02,37.31,26.19,66.29,6.35,70.05,maize
132.12,44.59,66.86,23.6,53.8,6.79,100.82,cotton
57.63,57.77,76.73,6.55,91.45,5.9,149.7,apple
17.89,30.72,26.22,33.64,84.85,6.92,77.25,mungbean
89.71,40.77,78.86,34.27,56.02,5.67,85.3,pomegranate
46.99,64.81,67.01,7.94,93.24,6.14,124.2,apple
92.96,62.7,54.02,21.44,66.31,6.38,62.55,maize
55.35,56.59,105.61,28.84,87.3,6.91,42.36,watermelon
21.03,39.87,29.45,28.21,65.3,6.46,73.67,blackgram
